Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
LOST HILLS UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,78,–,–,–,–,–,–,61,–,1,–,1,–,1,64,–,–,–,–,–,–,62,–,–,–,1,–,–,62,–,–,–,–,–,–,63,–,–,–,–
LOWELL JOINT,California,†,†,†,†,†,†,†,1,21,258,5,88,–,16,–,10,219,4,83,1,12,–,15,220,3,60,2,10,1,10,214,6,98,1,1,–,14,239,6,71,–,5,–,9,222,5,84,1,6
LUCERNE ELEMENTARY,California,†,†,†,†,†,†,†,–,1,6,1,21,–,5,–,–,12,2,16,–,1,1,–,7,–,17,–,4,1,–,6,–,16,–,4,2,–,6,1,21,–,4,3,–,12,–,13,–,–
LUCERNE VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,15,82,6,118,2,43,1,10,62,7,102,–,25,3,12,71,10,102,1,34,2,9,90,5,108,1,30,2,15,72,7,125,–,40,1,13,89,13,121,–,21
LUCIA MAR UNIFIED,California,†,†,†,†,†,†,†,2,15,412,6,392,–,45,3,14,352,2,357,1,35,2,18,346,5,334,1,33,5,15,317,4,359,2,36,3,18,387,4,376,2,30,2,23,392,5,350,3,34
LUTHER BURBANK,California,†,†,†,†,†,†,†,–,–,63,1,–,–,4,–,–,51,1,3,–,1,–,–,54,–,–,–,1,–,1,58,1,2,1,–,–,2,47,–,3,–,1,–,1,50,3,–,–,3
LYNWOOD UNIFIED,California,†,†,†,†,†,†,†,1,–,1145,64,9,2,2,1,2,1057,49,12,1,1,1,–,1023,43,12,4,–,1,2,1004,49,16,3,1,–,3,1063,45,18,2,2,–,3,1133,44,10,2,–
MADERA COUNTY SUPERINTENDENT OF SCHOOLS,California,†,†,†,†,†,†,†,–,1,15,–,2,–,1,1,1,20,–,2,–,–,–,–,11,–,6,–,2,–,–,8,1,3,–,–,–,–,16,–,7,–,–,–,–,17,–,5,–,1
MADERA UNIFIED,California,†,†,†,†,†,†,†,6,22,1808,22,114,–,34,9,17,1516,26,109,1,9,11,19,1387,28,98,–,6,6,20,1525,32,110,2,5,7,16,1474,22,83,1,6,9,27,1661,23,103,1,12
MAGNOLIA ELEMENTARY,California,†,†,†,†,†,†,†,6,128,759,30,107,9,12,5,99,628,28,84,11,6,7,101,614,22,84,6,8,6,125,602,28,83,9,9,13,132,638,22,95,4,16,5,104,628,30,72,15,11
MAGNOLIA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,2,5,–,9,–,–,–,–,8,–,7,–,–,–,1,6,–,6,–,–,–,1,8,–,6,–,–,–,–,9,–,6,–,–,–,–,3,–,9,–,1
MAMMOTH UNIFIED,California,†,†,†,†,†,†,†,–,–,59,–,38,–,3,–,2,54,–,29,–,3,–,1,56,–,30,–,–,–,1,60,–,26,–,1,–,1,58,1,30,–,–,–,1,65,–,41,–,2
MANCHESTER UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,6,–,–,–,–,2,–,1,–,–,–,–,5,–,1,–,–,–,–,3,–,3,–,–,–,–,4,–,2,–,–,–,–,5,–,–,–,–
MANHATTAN BEACH UNIFIED,California,†,†,†,†,†,†,†,–,36,45,–,284,–,77,–,57,38,4,249,–,54,–,54,40,4,261,–,68,–,50,50,2,304,–,74,–,51,47,5,319,–,67,1,55,47,4,339,–,68
MANTECA UNIFIED,California,†,†,†,†,†,†,†,4,235,1033,101,359,17,77,2,209,952,103,323,12,82,6,183,949,90,297,14,73,8,200,959,112,331,12,73,10,200,1032,97,345,19,63,5,257,1088,111,368,16,88
MANZANITA ELEMENTARY,California,†,†,†,†,†,†,†,–,–,10,–,18,–,5,–,2,17,–,13,–,4,–,5,12,–,15,–,3,–,1,11,–,13,–,1,–,3,11,–,20,–,2,–,3,11,–,14,–,1
MAPLE CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,1,–,–,–,–,–,–,–,–,2,–,–,–,–,1,–,1,1,–,–,–,–,–,1,–,–,1,–,–,–,–,–,–,–,–,1,–,–
MAPLE ELEMENTARY,California,†,†,†,†,†,†,†,–,1,29,–,15,–,–,–,–,25,–,5,–,–,–,–,23,–,9,–,–,–,–,17,–,10,–,–,–,–,22,–,9,–,–,–,–,22,–,7,–,–
MARCUM-ILLINOIS UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,4,41,2,143,–,37,–,1,32,3,104,2,32,–,4,36,3,127,2,32,2,5,36,1,114,3,27,2,8,33,4,115,1,37,4,7,32,4,154,2,34
MARICOPA UNIFIED,California,†,†,†,†,†,†,†,2,8,124,20,213,1,27,2,6,78,12,174,–,25,1,4,81,15,157,1,23,3,2,80,18,173,1,33,3,5,96,21,150,1,29,3,3,83,24,166,–,30
MARIN COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,3,9,2,7,–,2,1,2,3,1,4,–,1,–,–,1,–,5,–,–,–,1,4,1,1,–,1,–,–,1,–,6,–,–,–,1,5,–,4,–,–
MARIN COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MARIN PUPIL TRANSPORTATION AGENCY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MARIPOSA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,–,1,–,5,–,–,1,–,–,–,–,–,–,–,–,–,–,2,–,1,–,–,–,–,4,–,–,0,0,0,0,0,0,0,1,–,3,–,2,–,1
MARIPOSA COUNTY UNIFIED,California,†,†,†,†,†,†,†,6,2,34,–,103,–,14,6,2,26,–,88,–,8,8,1,29,–,101,–,7,3,2,32,1,93,–,11,9,1,16,2,98,–,6,7,4,29,–,117,–,2
MARK TWAIN UNION ELEMENTARY,California,†,†,†,†,†,†,†,7,2,24,1,70,–,9,3,1,15,1,50,–,11,1,2,19,1,55,–,4,1,2,23,2,62,–,2,1,1,21,–,68,–,5,2,–,11,2,74,–,5
MARK WEST UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,16,62,5,131,2,12,3,5,59,1,117,1,5,4,10,44,1,109,2,12,2,6,43,–,124,–,15,5,6,63,2,101,1,13,1,7,54,3,102,–,12
MARTINEZ UNIFIED,California,†,†,†,†,†,†,†,1,21,109,6,161,1,50,–,7,92,7,140,1,33,–,22,91,8,122,2,44,1,13,86,8,141,1,39,–,16,115,8,134,2,32,1,20,105,4,147,–,47
MARYSVILLE JOINT UNIFIED,California,†,†,†,†,†,†,†,18,83,442,41,385,3,46,21,91,326,28,313,2,37,22,66,345,23,294,2,36,16,56,338,32,312,2,37,23,69,361,24,321,5,37,15,65,343,23,285,2,49
MATTOLE UNIFIED,California,†,†,†,†,†,†,†,–,2,9,1,69,–,12,1,–,12,–,46,–,11,1,–,7,–,41,–,6,4,–,5,1,44,–,10,2,–,13,–,42,1,5,1,–,4,–,33,–,2
MAXWELL UNIFIED,California,†,†,†,†,†,†,†,2,–,18,–,6,–,1,1,1,9,–,13,–,–,1,–,8,–,8,–,2,3,–,17,–,16,–,5,–,–,15,–,8,1,–,–,1,13,–,10,–,3
MCCABE UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,6,153,2,25,–,1,–,5,109,–,12,–,1,–,4,123,–,10,–,–,–,5,123,2,13,–,2,–,7,124,–,20,–,–,–,5,147,–,13,–,–
MCCLOUD UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,–,–,–,–,–,1,–,5,–,–,–,–,2,–,7,–,2,1,–,2,–,8,–,2,–,–,–,–,5,–,1,2,–,4,–,2,–,–
MCFARLAND UNIFIED,California,†,†,†,†,†,†,†,–,4,311,–,4,–,–,–,1,311,1,2,–,–,–,1,267,1,4,–,–,–,3,308,–,2,–,–,–,2,285,1,–,–,–,–,6,289,1,1,–,–
MCKINLEYVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,10,2,23,2,119,–,6,4,2,21,–,85,1,18,12,1,15,2,70,–,12,11,2,20,1,85,–,13,17,2,23,–,76,–,15,10,1,14,–,80,2,8
MCKITTRICK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,3,–,5,–,–,–,–,1,–,7,–,–,–,–,2,–,7,–,–,–,–,1,–,7,–,1,–,–,2,–,6,–,–,–,–,3,–,7,–,–
MCSWAIN UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,7,45,–,59,–,6,1,8,40,–,30,–,4,–,4,39,–,52,–,5,–,4,39,1,36,–,5,–,7,34,–,44,–,3,1,4,35,2,39,1,2
MEADOWS UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,42,1,11,–,–,–,–,47,–,5,1,–,1,–,41,–,6,–,–,–,–,42,–,7,–,–,–,–,42,2,10,–,1,–,–,46,1,6,–,–
MENDOCINO COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,–,–,1,–,3,–,–,–,–,2,–,–,–,–,–,–,–,–,1,1,–,0,0,0,0,0,0,0,1,–,–,–,–,–,–
MENDOCINO COUNTY ROC/ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MENDOCINO UNIFIED,California,†,†,†,†,†,†,†,–,–,3,–,25,–,–,–,–,5,–,24,–,–,–,–,5,1,22,–,1,1,–,3,–,25,–,2,–,2,6,2,33,–,2,1,3,6,–,33,1,–
MENDOTA UNIFIED,California,†,†,†,†,†,†,†,1,–,371,–,3,–,4,–,1,291,–,5,–,3,–,–,264,–,1,–,2,–,–,279,–,3,–,3,–,–,261,–,4,–,2,–,2,254,1,9,–,1
MENIFEE UNION ELEMENTARY,California,†,†,†,†,†,†,†,8,68,560,80,556,9,99,12,73,537,65,452,6,59,4,53,551,82,451,4,69,4,76,542,78,466,6,72,5,72,550,79,454,13,63,5,70,596,68,453,5,66
MENLO PARK CITY ELEMENTARY,California,†,†,†,†,†,†,†,–,49,55,2,182,4,33,–,38,59,3,195,4,48,–,37,52,3,182,3,41,1,32,53,3,193,10,39,1,40,47,4,213,4,52,–,32,48,4,214,4,40
MERCED CITY ELEMENTARY,California,†,†,†,†,†,†,†,8,164,968,76,184,2,46,3,145,731,60,185,–,47,4,119,799,51,190,3,33,3,101,769,72,187,2,31,3,124,791,62,190,3,33,2,111,882,60,153,2,53
MERCED COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,3,34,3,6,–,3,–,2,34,–,10,1,–,–,1,27,1,18,–,2,–,2,26,3,6,–,1,–,3,28,2,13,–,1,–,2,34,3,13,–,1
MERCED COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MERCED RIVER UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,–,18,–,8,–,1,–,–,11,–,7,–,2,–,–,14,–,4,–,–,–,–,6,–,5,–,–,–,–,12,–,5,–,–,–,–,9,1,8,–,–
MERCED UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MERIDIAN ELEMENTARY,California,†,†,†,†,†,†,†,–,–,13,7,31,–,2,–,1,5,10,19,–,4,1,1,16,5,27,1,6,–,3,10,12,26,2,8,–,4,17,13,29,–,7,–,5,17,7,35,1,13
MESA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,5,87,1,55,–,13,–,9,47,–,52,–,10,1,9,52,1,58,–,7,1,6,65,3,55,1,10,–,8,71,1,48,–,10,1,12,66,2,47,2,6
METRO EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
METROPOLITAN EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MID-PLACER TRANSPORTATION JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MIDDLETOWN UNIFIED,California,†,†,†,†,†,†,†,1,–,39,–,97,–,10,1,2,21,–,63,1,7,–,2,22,1,72,–,13,1,–,38,–,78,–,8,2,–,20,–,64,1,6,2,–,26,–,75,–,6
MIDWAY ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,6,–,1,–,–,–,–,5,–,1,–,–,–,–,12,–,–,1,–,3,–,8,–,–,–,–,1,–,10,–,–,–,–,1,–,11,–,1
MILL VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,1,17,32,1,236,–,33,–,16,23,2,250,3,34,–,16,25,3,242,–,37,1,11,27,2,268,–,31,1,17,32,1,312,–,42,2,19,21,3,286,1,38
MILLBRAE ELEMENTARY,California,†,†,†,†,†,†,†,1,158,58,2,65,7,19,–,127,51,2,54,3,13,1,120,46,–,61,5,20,1,131,50,2,47,8,21,–,139,45,1,44,4,23,–,141,60,5,59,6,16
MILLVILLE ELEMENTARY,California,†,†,†,†,†,†,†,1,–,2,–,24,–,1,–,–,–,–,20,–,1,–,1,2,–,27,–,–,–,–,3,–,28,–,2,–,–,1,–,22,–,5,–,1,3,–,32,–,1
MILPITAS UNIFIED,California,†,†,†,†,†,†,†,1,572,179,8,51,4,46,2,504,129,11,48,6,39,2,494,143,9,54,3,39,4,512,157,11,41,6,34,4,479,161,18,45,4,32,6,555,177,14,44,5,27
MISSION TRAILS ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MISSION TRAILS ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MISSION UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,10,–,3,–,1,–,–,14,–,1,–,–,–,–,6,–,2,–,–,–,1,16,–,2,–,–,–,–,10,–,2,–,–,–,–,11,–,5,–,–
MISSION VALLEY ROC/P,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MISSION VALLEY ROC/P,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MODESTO CITY ELEMENTARY,California,†,†,†,†,†,†,†,6,86,1160,44,294,9,136,5,70,1156,45,266,13,138,–,76,1105,36,256,9,105,6,79,1161,44,277,10,148,7,73,1190,28,307,16,175,10,77,1294,37,263,10,127
MODESTO CITY HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MODESTO CITY SCHOOLS,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MODOC COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,–,–,1,–,1,–,–,1,–,1,–,2,–,–,–,–,–,–,1,–,–,0,0,0,0,0,0,0,–,–,–,–,1,–,–
MODOC COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MODOC JOINT UNIFIED,California,†,†,†,†,†,†,†,5,1,7,2,62,–,1,5,1,12,1,53,–,5,7,2,8,1,38,–,–,4,1,10,1,54,–,2,5,1,8,–,40,–,5,4,2,10,–,44,–,3
MOJAVE UNIFIED,California,†,†,†,†,†,†,†,3,2,109,99,39,1,20,1,2,98,77,46,1,15,1,3,104,97,42,1,14,3,–,110,84,41,1,18,4,2,100,61,42,1,4,1,3,107,77,55,–,10
MONO COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONO COUNTY ROC/P,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MONROE ELEMENTARY,California,†,†,†,†,†,†,†,–,1,28,–,–,–,–,–,–,14,–,–,–,–,–,1,20,–,1,–,–,–,–,18,–,1,–,–,–,1,19,–,2,–,–,–,–,16,–,–,–,–
MONROVIA UNIFIED,California,†,†,†,†,†,†,†,–,42,307,25,85,1,10,1,36,254,13,73,1,4,1,29,259,15,72,2,14,–,35,284,30,78,2,4,1,38,302,27,80,–,8,–,28,257,22,93,–,11
MONSON-SULTANA JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,50,–,2,–,1,–,–,43,–,2,–,–,–,–,49,–,2,–,–,–,–,36,–,2,–,1,–,–,50,–,4,–,–,–,–,41,–,5,–,–
MONTAGUE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,5,–,12,–,1,1,–,1,–,17,–,3,–,–,2,–,8,1,10,2,–,3,–,5,1,8,–,–,4,–,5,–,6,2,–,3,–,10,1,6
MONTE RIO UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,2,–,14,–,1,–,–,1,–,5,–,4,–,–,1,–,6,–,1,–,–,–,–,6,–,3,–,–,2,–,9,–,3,–,1,2,–,6,–,1
MONTEBELLO UNIFIED,California,†,†,†,†,†,†,†,3,49,2096,6,20,1,24,2,28,1816,7,21,–,8,4,21,1755,7,19,2,7,2,44,1825,6,11,1,13,4,34,1874,3,8,4,10,–,43,2004,1,18,1,8
MONTECITO UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,7,–,47,–,5,1,–,4,–,47,–,3,–,1,5,–,36,–,3,–,–,–,–,47,–,4,–,–,5,1,60,–,4,–,1,2,3,56,–,–
MONTEREY COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,7,64,4,60,1,16,1,5,67,2,50,–,15,2,4,66,–,44,1,17,2,7,76,1,47,–,9,1,7,67,10,51,1,20,–,8,60,3,55,–,20
MONTEREY PENINSULA UNIFIED,California,†,†,†,†,†,†,†,1,104,592,48,292,24,88,2,57,493,32,188,7,57,1,57,462,36,170,11,72,3,74,541,36,158,19,54,3,59,479,38,153,19,66,1,76,529,31,164,15,52
MONTGOMERY ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,3,–,–,–,–,1,–,2,–,–,–,–,1,–,2,–,–,–,–,–,–,3,–,–,–,–,–,–,7,–,–,0,0,0,0,0,0,0
MOORPARK UNIFIED,California,†,†,†,†,†,†,†,–,14,268,4,243,–,25,2,33,225,3,149,–,19,–,22,217,4,176,1,22,–,22,226,5,193,1,31,–,28,252,3,186,–,19,1,24,259,4,186,1,30
MORAGA ELEMENTARY,California,†,†,†,†,†,†,†,–,26,14,2,126,1,43,1,25,12,1,100,–,31,1,27,15,–,116,1,25,–,30,18,4,123,–,33,1,32,24,3,137,–,22,–,28,13,3,138,–,24
MORELAND,California,†,†,†,†,†,†,†,6,216,160,13,150,–,40,2,217,170,10,137,2,29,2,194,164,12,123,1,30,7,190,175,20,135,2,33,4,154,152,12,158,1,33,2,154,208,13,158,3,32
MORENO VALLEY UNIFIED,California,†,†,†,†,†,†,†,5,90,2046,378,223,27,109,8,80,1764,328,169,13,98,4,71,1690,296,154,22,92,7,66,1791,368,187,14,91,7,70,1804,335,178,24,91,5,91,1968,400,186,18,90
MORGAN HILL UNIFIED,California,†,†,†,†,†,†,†,3,69,407,11,236,2,44,7,66,325,8,202,5,38,1,59,321,8,185,2,35,4,66,381,8,232,1,42,3,79,377,6,234,1,41,7,67,394,12,237,4,24
MORONGO UNIFIED,California,†,†,†,†,†,†,†,13,30,234,75,427,15,30,7,20,201,61,373,7,26,2,20,223,55,379,6,29,3,13,233,54,355,5,43,1,26,220,47,346,7,38,6,20,226,47,359,1,28
MOTHER LODE UNION ELEMENTARY,California,†,†,†,†,†,†,†,6,2,53,2,86,–,5,1,–,33,–,66,–,4,2,1,35,1,65,–,4,4,–,42,2,60,–,3,8,1,45,1,64,–,5,4,–,51,–,72,1,6
MOUNT PLEASANT ELEMENTARY,California,†,†,†,†,†,†,†,2,40,205,7,10,4,8,–,35,194,2,6,4,13,–,31,200,6,10,3,18,1,46,177,3,9,4,5,–,34,210,5,11,4,5,4,56,226,4,5,4,13
MOUNTAIN ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,16,–,1,–,–,5,–,9,–,2,–,1,–,–,17,–,1,–,–,2,–,13,–,2,–,–,1,–,21,–,1,–,–,–,–,16,–,–
MOUNTAIN EMPIRE UNIFIED,California,†,†,†,†,†,†,†,9,1,79,2,59,–,23,7,–,96,4,60,–,8,4,3,75,5,54,–,9,5,1,96,5,48,–,10,–,–,78,6,57,–,7,5,5,119,7,90,–,16
MOUNTAIN HOUSE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,1,–,–,–,–,–,–,2,–,–,–,–,–,–,2,–,–,–,–,1,–,–,–,–,–,–,1,–,1,–,–,1,–,2,–,1,–,–
MOUNTAIN UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,–,1,–,–,4,–,1,–,4,–,1,1,–,2,1,2,–,2,1,–,1,–,6,–,–,1,–,2,–,2,–,–,3,–,4,–,6,–,1
MOUNTAIN VALLEY UNIFIED,California,†,†,†,†,†,†,†,1,2,1,–,18,–,2,–,2,2,–,12,–,1,2,2,2,–,7,–,–,–,4,2,–,12,–,5,1,3,7,–,13,–,3,–,2,2,–,10,–,6
MOUNTAIN VIEW ELEMENTARY,California,†,†,†,†,†,†,†,–,44,947,3,1,–,8,–,38,754,2,–,1,1,1,34,622,1,–,–,5,1,47,726,1,–,–,7,–,43,761,4,–,–,5,–,32,757,–,–,–,3
MOUNTAIN VIEW ELEMENTARY,California,†,†,†,†,†,†,†,–,14,241,30,36,1,6,–,14,187,23,31,–,6,–,10,192,20,30,–,7,–,12,197,17,28,–,5,–,7,209,17,37,–,10,–,21,196,21,26,–,14
MOUNTAIN VIEW WHISMAN,California,†,†,†,†,†,†,†,1,163,236,9,221,–,72,–,138,212,5,198,5,80,–,95,217,7,172,3,68,–,98,204,7,165,2,69,–,88,229,9,191,–,74,–,101,246,9,167,4,45
MOUNTAIN VIEW-LOS ALTOS UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MT. BALDY JOINT ELEMENTARY,California,†,†,†,†,†,†,†,1,1,2,1,8,–,1,–,–,5,–,2,–,–,–,–,3,–,8,–,2,–,–,6,1,6,–,–,–,1,5,–,4,–,–,–,–,3,–,8,–,1
MT. DIABLO UNIFIED,California,†,†,†,†,†,†,†,3,348,1169,80,929,16,445,2,260,1067,80,761,18,350,1,251,1064,71,722,6,382,2,248,1069,94,695,16,346,7,336,1074,81,837,19,231,7,308,1195,117,880,30,216
MT. SHASTA UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,–,7,–,63,–,–,–,1,4,3,48,–,–,–,4,4,5,57,2,2,1,1,3,–,59,1,–,–,2,8,2,55,–,–,3,1,8,3,45,–,–
MULBERRY ELEMENTARY,California,†,†,†,†,†,†,†,–,–,4,–,6,–,–,–,–,7,–,2,–,1,–,–,3,–,5,–,–,–,1,7,–,6,–,1,–,–,7,2,5,–,–,–,1,4,–,3,–,1
MUPU ELEMENTARY,California,†,†,†,†,†,†,†,1,–,18,1,12,–,1,–,–,11,–,9,–,–,1,1,14,–,11,1,1,–,–,8,1,6,–,2,–,–,12,–,8,–,1,–,–,16,–,7,–,2
MUROC JOINT UNIFIED,California,†,†,†,†,†,†,†,1,8,49,20,101,1,20,1,4,33,11,77,–,20,–,4,42,13,69,–,17,1,1,38,10,76,–,19,3,2,45,13,67,–,13,1,7,37,13,66,1,15
MURRIETA VALLEY UNIFIED,California,†,†,†,†,†,†,†,4,106,595,63,633,12,150,5,91,552,66,579,3,127,4,93,564,71,553,10,114,5,101,586,62,621,13,107,1,97,589,89,659,11,105,4,127,589,76,705,10,120
