Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
PLACENTIA-YORBA LINDA UNIFIED,California,4,322,819,22,713,4,54,5,406,805,32,708,3,63,2,366,822,28,690,3,70,3,336,807,28,859,4,79
PLACER COUNTY OFFICE OF EDUCATION,California,2,1,11,1,43,–,7,1,2,7,–,47,1,7,2,–,17,–,49,–,4,–,1,19,2,29,–,1
PLACER HILLS UNION ELEMENTARY,California,–,2,7,2,68,–,3,–,3,3,–,76,–,1,1,1,10,–,72,–,5,†,†,†,†,†,†,†
PLACER UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,14,10,149,4,747,–,64
PLACERVILLE UNION ELEMENTARY,California,1,3,30,1,81,1,10,1,1,32,–,75,–,10,–,1,37,–,71,–,5,†,†,†,†,†,†,†
PLAINSBURG UNION ELEMENTARY,California,–,–,5,–,8,–,–,–,–,7,–,7,–,–,–,–,10,–,9,–,–,†,†,†,†,†,†,†
PLANADA ELEMENTARY,California,–,–,81,–,1,–,–,–,–,74,–,1,–,–,–,–,81,1,1,–,–,†,†,†,†,†,†,†
PLAZA ELEMENTARY,California,–,–,10,–,15,–,1,–,1,5,–,15,–,–,–,–,5,–,9,–,2,†,†,†,†,†,†,†
PLEASANT GROVE JOINT UNION,California,–,–,2,1,20,–,1,–,–,3,–,18,1,–,1,1,4,–,14,–,1,†,†,†,†,†,†,†
PLEASANT RIDGE UNION ELEMENTARY,California,1,1,16,1,109,–,5,–,–,11,1,114,1,14,2,1,13,–,132,–,8,†,†,†,†,†,†,†
PLEASANT VALLEY,California,1,88,313,18,358,4,52,4,103,307,28,363,3,47,4,97,310,30,390,2,30,†,†,†,†,†,†,†
PLEASANT VALLEY JOINT UNION ELEMENTARY,California,–,–,3,–,2,–,–,–,–,3,–,8,1,–,–,–,3,–,5,–,1,†,†,†,†,†,†,†
PLEASANT VIEW ELEMENTARY,California,–,4,48,–,–,–,2,–,1,41,–,–,–,2,–,6,49,–,–,–,1,†,†,†,†,†,†,†
PLEASANTON UNIFIED,California,2,524,113,21,510,5,66,–,502,102,15,527,2,86,–,511,110,17,551,2,51,4,504,116,13,581,5,33
PLUMAS COUNTY OFFICE OF EDUCATION,California,–,–,–,–,1,–,–,="0",="0",="0",="0",="0",="0",="0",–,–,–,1,3,–,1,–,–,–,–,2,–,–
PLUMAS COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PLUMAS LAKE ELEMENTARY,California,3,10,32,4,77,2,14,1,11,39,4,60,1,12,3,10,37,6,72,3,12,†,†,†,†,†,†,†
PLUMAS UNIFIED,California,4,1,16,3,116,–,11,3,1,26,3,135,–,15,7,1,30,1,129,–,6,5,2,23,1,118,–,8
POINT ARENA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,4,–,22,–,14,–,1
POLLOCK PINES ELEMENTARY,California,–,2,11,2,71,1,2,2,2,8,1,63,–,1,–,2,14,1,59,–,1,†,†,†,†,†,†,†
POMONA UNIFIED,California,5,74,1574,86,57,2,25,2,75,1572,77,40,1,24,4,78,1534,70,52,2,16,3,79,1499,92,78,1,14
POND UNION ELEMENTARY,California,–,–,21,–,1,–,–,–,1,22,–,1,–,–,1,–,16,–,1,–,–,†,†,†,†,†,†,†
POPE VALLEY UNION ELEMENTARY,California,–,–,4,–,2,–,–,1,–,6,–,4,–,–,1,–,3,–,1,–,1,†,†,†,†,†,†,†
PORTERVILLE UNIFIED,California,16,19,685,4,89,2,11,23,21,762,6,88,2,17,24,17,698,7,92,4,19,41,49,1320,11,209,7,16
PORTOLA VALLEY ELEMENTARY,California,–,4,9,1,41,2,1,–,2,14,1,53,1,6,–,8,8,1,59,1,9,†,†,†,†,†,†,†
POTTER VALLEY COMMUNITY UNIFIED,California,1,–,11,–,7,–,1,–,–,6,–,10,–,–,1,–,6,1,6,–,–,–,–,7,–,9,–,3
POWAY UNIFIED,California,6,817,396,60,1330,10,202,6,790,387,85,1327,14,169,8,785,402,70,1287,11,165,4,766,377,65,1422,14,160
PRINCETON JOINT UNIFIED,California,–,–,9,–,4,–,–,–,–,10,–,3,–,–,–,–,6,1,5,–,–,–,–,9,–,5,–,–
PUPIL TRANSPORTATION CO-OP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
RAISIN CITY ELEMENTARY,California,–,–,29,–,1,–,–,–,–,24,–,2,–,–,–,1,22,–,2,–,–,4,5,112,17,11,–,6
RAMONA CITY UNIFIED,California,6,2,155,1,252,1,16,4,4,142,2,247,–,12,6,8,163,4,233,2,11,4,6,155,7,267,–,20
RANCHO SANTA FE ELEMENTARY,California,–,4,6,1,63,–,4,–,7,9,–,68,–,3,–,5,7,1,55,–,1,†,†,†,†,†,†,†
RAVENDALE-TERMO ELEMENTARY,California,2,–,7,–,28,–,4,5,–,9,1,31,–,5,2,–,2,–,41,–,1,2,4,6,–,32,–,5
RAVENSWOOD CITY ELEMENTARY,California,–,3,310,25,1,33,3,–,1,308,29,–,32,4,–,3,331,35,3,26,7,–,–,37,2,–,1,1
RAYMOND-KNOWLES UNION ELEMENTARY,California,2,1,2,–,7,–,–,2,1,3,–,3,–,2,–,2,1,–,5,–,–,†,†,†,†,†,†,†
RED BLUFF JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,13,5,124,7,268,1,12
RED BLUFF UNION ELEMENTARY,California,7,1,90,1,102,1,13,4,–,61,2,126,–,4,2,2,70,2,109,–,7,†,†,†,†,†,†,†
REDDING ELEMENTARY,California,9,7,45,3,190,–,24,10,13,45,3,226,1,35,12,9,41,5,272,3,17,–,2,3,–,17,–,1
REDLANDS UNIFIED,California,8,207,771,96,400,5,65,2,171,735,122,462,3,63,9,203,813,99,451,8,77,6,198,823,112,526,3,70
REDONDO BEACH UNIFIED,California,3,79,168,22,363,1,104,3,85,158,34,370,3,102,2,71,176,34,331,3,103,1,74,182,36,388,9,91
REDWOOD CITY ELEMENTARY,California,–,33,705,10,162,9,33,1,43,691,10,208,13,14,2,32,720,17,186,13,22,†,†,†,†,†,†,†
REED UNION ELEMENTARY,California,1,9,2,1,150,–,9,–,15,8,5,168,1,8,–,12,8,2,158,–,5,†,†,†,†,†,†,†
REEDS CREEK ELEMENTARY,California,1,–,1,–,6,–,–,–,–,1,1,19,–,1,2,–,–,–,13,–,–,†,†,†,†,†,†,†
REEF-SUNSET UNIFIED,California,–,–,200,–,6,–,–,1,–,185,–,6,–,–,–,1,186,–,2,–,–,–,–,140,–,9,–,–
RESCUE UNION ELEMENTARY,California,2,22,54,1,294,1,19,1,24,68,4,350,–,30,–,34,82,6,336,–,29,†,†,†,†,†,†,†
RIALTO UNIFIED,California,4,27,1777,207,69,10,22,4,25,1629,207,60,13,11,4,19,1662,178,69,7,20,5,34,1745,197,75,11,24
RICHFIELD ELEMENTARY,California,–,1,8,–,13,–,1,–,–,15,–,11,–,2,–,2,8,1,11,–,–,†,†,†,†,†,†,†
RICHGROVE ELEMENTARY,California,1,–,71,–,1,–,–,–,2,64,–,–,–,–,–,2,60,–,2,–,–,†,†,†,†,†,†,†
RICHLAND UNION ELEMENTARY,California,–,6,325,1,20,1,–,–,4,357,2,14,–,–,–,3,379,3,14,–,1,†,†,†,†,†,†,†
RICHMOND ELEMENTARY,California,–,–,2,–,27,–,1,–,–,1,–,24,–,–,–,–,3,–,24,–,–,†,†,†,†,†,†,†
RIM OF THE WORLD UNIFIED,California,–,–,108,3,151,–,15,–,3,113,4,133,2,7,1,2,90,6,138,–,10,1,3,100,4,171,–,14
RINCON VALLEY UNION ELEMENTARY,California,4,30,115,9,254,5,22,4,10,39,8,115,1,5,3,4,50,4,91,1,10,†,†,†,†,†,†,†
RIO BRAVO-GREELEY UNION ELEMENTARY,California,3,3,35,3,60,1,–,1,2,45,1,64,1,–,1,2,52,3,58,–,–,†,†,†,†,†,†,†
RIO DELL ELEMENTARY,California,4,–,8,–,20,–,4,2,–,9,–,31,–,3,2,1,9,–,25,–,–,†,†,†,†,†,†,†
RIO ELEMENTARY,California,2,26,491,4,21,1,11,2,19,456,4,22,2,7,1,29,467,9,22,4,12,†,†,†,†,†,†,†
RIPON UNIFIED,California,1,22,112,5,147,2,22,1,25,110,1,179,4,26,1,27,124,10,198,1,26,–,16,124,9,165,–,24
RIVER DELTA JOINT UNIFIED,California,2,2,119,1,66,1,4,–,–,87,1,77,2,12,–,1,97,3,82,–,6,–,2,89,2,64,–,7
RIVERBANK UNIFIED,California,–,1,179,2,30,–,1,–,3,177,1,30,–,2,1,3,186,2,44,–,1,1,1,160,1,24,–,–
RIVERDALE JOINT UNIFIED,California,–,–,107,–,23,–,–,–,–,99,–,14,–,–,–,–,73,–,21,–,–,1,2,119,2,17,–,1
RIVERSIDE COUNTY OFFICE OF EDUCATION,California,3,13,257,20,268,3,34,2,18,206,29,268,2,43,2,18,229,27,209,–,32,4,6,211,39,144,1,17
RIVERSIDE COUNTY OFFICE OF EDUCATION ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
RIVERSIDE UNIFIED,California,24,157,1974,185,738,15,123,20,182,1990,211,755,18,123,14,145,2016,260,788,13,142,16,174,2087,243,776,12,121
ROBERTS FERRY UNION ELEMENTARY,California,–,–,3,–,9,–,–,–,1,4,–,9,–,3,–,–,3,1,9,–,1,†,†,†,†,†,†,†
ROBLA ELEMENTARY,California,1,46,170,44,42,4,9,–,–,–,–,1,–,2,–,–,–,–,1,–,1,–,1,6,13,5,1,4
ROCKFORD ELEMENTARY,California,–,1,19,–,20,–,1,–,2,25,–,10,–,1,1,2,20,–,15,–,1,†,†,†,†,†,†,†
ROCKLIN UNIFIED,California,2,99,130,16,679,4,75,2,128,150,15,724,6,79,10,134,142,15,631,4,71,6,133,181,25,802,3,85
ROMOLAND ELEMENTARY,California,–,12,283,24,62,2,3,–,10,273,17,87,2,7,–,18,295,28,79,2,4,†,†,†,†,†,†,†
ROSEDALE UNION ELEMENTARY,California,–,45,213,7,372,1,26,6,45,209,22,332,2,21,10,45,206,23,376,2,12,†,†,†,†,†,†,†
ROSELAND,California,1,5,245,2,10,2,2,3,–,231,–,7,–,4,2,1,206,4,1,–,–,3,3,177,2,5,–,–
ROSEMEAD ELEMENTARY,California,2,151,114,1,9,–,10,–,176,142,2,5,–,1,–,193,133,–,5,–,3,†,†,†,†,†,†,†
ROSEVILLE CITY ELEMENTARY,California,3,134,284,20,611,4,138,7,127,239,19,636,4,101,3,143,237,37,679,8,92,†,†,†,†,†,†,†
ROSEVILLE JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,15,301,435,93,1507,17,111
ROSS ELEMENTARY,California,–,1,4,–,43,–,–,–,1,3,–,34,2,1,–,–,3,–,34,–,–,†,†,†,†,†,†,†
ROSS VALLEY ELEMENTARY,California,1,4,21,4,197,–,25,–,7,22,1,227,1,15,–,19,20,2,217,1,10,†,†,†,†,†,†,†
ROUND VALLEY JOINT ELEMENTARY,California,–,–,5,–,10,–,1,1,–,–,–,8,–,1,–,–,1,–,7,–,–,†,†,†,†,†,†,†
ROUND VALLEY UNIFIED,California,17,–,14,–,4,–,–,26,–,13,–,3,–,–,23,–,4,–,1,–,–,16,–,8,–,8,–,–
ROWLAND UNIFIED,California,1,302,705,23,54,1,20,1,294,701,25,42,2,26,4,310,702,23,57,3,19,2,303,668,20,42,7,19
SACRAMENTO CITY UNIFIED,California,22,653,1534,609,679,92,214,24,660,1355,587,678,64,191,30,640,1382,590,641,71,157,19,595,1317,577,557,65,207
SACRAMENTO COUNTY OFFICE OF EDUCATION,California,4,4,28,57,5,–,3,5,9,45,53,31,2,5,1,5,45,60,32,1,8,–,6,24,20,36,5,8
SACRAMENTO COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
SADDLEBACK VALLEY UNIFIED,California,1,260,712,36,938,7,131,4,215,757,22,1000,5,128,5,241,781,32,1017,3,150,2,265,719,31,1147,7,145
SAINT HELENA UNIFIED,California,–,1,50,–,36,–,2,1,–,38,–,44,–,1,1,2,39,–,52,–,1,1,2,61,2,60,–,–
SALIDA UNION ELEMENTARY,California,1,26,180,13,105,1,17,–,16,229,11,99,4,15,–,10,214,9,93,4,12,†,†,†,†,†,†,†
SALINAS CITY ELEMENTARY,California,1,25,1179,9,76,3,19,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SALINAS UNION HIGH,California,†,†,†,†,†,†,†,–,42,2180,22,87,8,7,3,64,1937,23,194,–,10,6,105,2405,15,204,3,15
SAN ANTONIO ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SAN ANTONIO ROP,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
SAN ANTONIO UNION ELEMENTARY,California,–,–,11,1,13,–,1,–,1,4,–,7,–,4,–,1,6,–,8,–,–,†,†,†,†,†,†,†
SAN ARDO UNION ELEMENTARY,California,–,–,9,–,1,–,–,–,–,12,–,–,–,–,–,–,7,–,–,–,–,†,†,†,†,†,†,†
SAN BENITO COUNTY OFFICE OF EDUCATION,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,–,15,–,2,–,–,–,–,12,–,–,–,–
SAN BENITO HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,2,18,544,2,168,–,13
SAN BERNARDINO CITY UNIFIED,California,27,68,3199,511,245,17,112,23,77,3007,446,219,25,151,20,64,2998,472,249,14,130,17,73,2855,461,251,18,113
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,California,2,5,163,26,30,1,17,1,2,86,16,23,1,8,6,7,95,38,28,–,9,4,5,97,27,33,1,6
SAN BERNARDINO COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
SAN BRUNO PARK ELEMENTARY,California,–,39,113,6,67,15,18,–,76,99,6,60,16,19,1,55,113,5,58,14,14,†,†,†,†,†,†,†
SAN CARLOS ELEMENTARY,California,–,48,56,8,245,–,41,1,45,68,5,254,3,39,–,40,52,2,214,2,43,†,†,†,†,†,†,†
SAN DIEGO COUNTY OFFICE OF EDUCATION,California,–,55,31,9,72,1,4,–,43,51,7,60,–,7,1,46,54,12,59,–,4,5,10,105,14,32,–,8
SAN DIEGO COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
SAN DIEGO UNIFIED,California,14,1290,4584,863,2203,44,730,23,1301,4474,851,2189,37,721,13,1355,4612,839,2200,52,646,18,1257,4694,795,2013,41,661
SAN DIEGUITO UNION HIGH,California,†,†,†,†,†,†,†,7,369,290,9,1213,3,101,8,372,290,10,1312,3,80,6,386,260,17,1458,3,48
SAN FRANCISCO COUNTY OFFICE OF EDUCATION,California,–,1,3,4,2,1,2,–,1,4,6,3,1,2,–,4,6,3,8,3,–,–,5,21,18,9,2,3
SAN FRANCISCO COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SAN FRANCISCO UNIFIED,California,20,1665,1173,347,552,46,299,17,1739,1110,346,519,47,320,6,1669,1110,364,479,56,283,21,1739,1531,437,486,46,300
SAN GABRIEL UNIFIED,California,–,180,145,8,20,–,8,–,235,173,8,27,–,33,2,241,148,7,41,–,22,6,217,259,8,64,1,70
SAN JACINTO UNIFIED,California,15,20,628,66,147,6,22,18,17,576,79,126,7,24,13,20,594,72,114,7,22,16,21,547,55,119,3,28
SAN JOAQUIN COUNTY OFFICE OF EDUCATION,California,2,38,104,19,51,3,7,4,35,125,25,57,1,13,3,22,153,21,70,2,16,2,15,242,49,67,2,12
SAN JOAQUIN COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SAN JOAQUIN DATA PROCESSING JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SAN JOSE UNIFIED,California,4,362,1292,54,539,5,204,10,401,1301,61,633,8,94,14,398,1274,64,614,19,66,10,429,1314,57,655,10,64
SAN JUAN UNIFIED,California,33,251,870,249,2088,32,132,26,264,781,263,2133,29,146,34,291,802,290,2106,16,135,44,297,868,307,2238,35,130
SAN LEANDRO UNIFIED,California,3,144,333,84,52,8,29,1,158,327,102,55,10,26,2,141,296,73,56,7,18,–,145,303,111,55,10,25
SAN LORENZO UNIFIED,California,5,181,492,87,64,11,23,2,197,476,83,66,12,19,5,206,556,108,66,10,18,2,221,542,124,75,15,31
SAN LORENZO VALLEY UNIFIED,California,2,22,80,5,276,1,53,2,29,65,6,266,1,40,1,15,65,3,247,1,37,1,12,58,4,244,–,31
SAN LUCAS UNION ELEMENTARY,California,–,–,3,–,1,1,–,–,–,4,–,1,–,–,–,–,6,–,1,–,–,†,†,†,†,†,†,†
SAN LUIS COASTAL UNIFIED,California,1,36,192,3,385,1,36,2,25,172,7,360,1,20,1,41,164,5,344,–,30,3,43,149,7,342,3,25
SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,California,–,–,1,–,1,–,–,–,–,–,–,2,–,–,1,–,7,–,3,–,–,–,–,6,–,7,–,–
SAN MARCOS UNIFIED,California,6,126,707,30,778,6,2,4,127,730,39,726,5,6,10,127,723,51,673,11,–,6,129,725,26,682,5,1
SAN MARINO UNIFIED,California,–,120,24,1,52,–,17,–,161,19,2,61,–,26,1,152,20,3,78,–,25,–,149,26,2,59,–,23
SAN MATEO COUNTY OFFICE OF EDUCATION,California,–,1,1,–,–,1,2,–,1,5,1,5,–,–,–,2,6,–,2,–,1,–,5,10,1,3,2,1
SAN MATEO COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SAN MATEO UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,7,646,770,15,667,52,205
SAN MATEO-FOSTER CITY,California,2,354,444,19,330,36,99,1,350,410,11,358,40,82,–,333,406,10,358,34,55,†,†,†,†,†,†,†
SAN MIGUEL JOINT UNION,California,–,1,45,–,33,–,2,–,1,42,–,30,–,1,–,–,46,–,39,–,1,†,†,†,†,†,†,†
SAN PASQUAL UNION ELEMENTARY,California,1,1,17,1,40,–,4,–,2,22,1,39,–,3,–,3,15,1,38,–,2,†,†,†,†,†,†,†
SAN PASQUAL VALLEY UNIFIED,California,16,–,20,–,1,–,20,29,–,29,–,2,–,2,29,–,24,–,1,–,3,28,–,24,1,3,–,3
SAN RAFAEL CITY ELEMENTARY,California,2,26,344,6,118,1,2,–,18,320,4,112,1,2,–,14,321,6,128,2,3,†,†,†,†,†,†,†
SAN RAFAEL CITY HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,3,43,362,8,235,2,12
SAN RAMON VALLEY UNIFIED,California,3,1044,203,40,1070,5,207,3,1077,209,30,1167,5,147,6,1032,241,46,1175,7,204,6,996,220,51,1203,4,191
SAN YSIDRO ELEMENTARY,California,1,30,534,8,14,–,4,–,26,455,13,6,–,5,–,30,480,11,11,–,4,†,†,†,†,†,†,†
SANGER UNIFIED,California,1,97,667,12,150,–,20,4,90,632,12,130,2,19,1,96,651,14,113,5,23,3,92,603,17,94,3,13
SANTA ANA UNIFIED,California,5,79,3986,13,50,8,10,3,152,3904,12,136,3,34,5,147,3808,9,149,4,43,9,179,3722,15,237,3,58
SANTA BARBARA COUNTY OFFICE OF EDUCATION,California,–,1,6,–,3,–,–,–,–,7,–,–,–,–,–,–,31,1,1,–,1,–,–,22,–,1,–,–
SANTA BARBARA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
SANTA BARBARA COUNTY SELPA JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA BARBARA UNIFIED,California,3,15,570,6,207,2,8,4,67,851,20,532,1,35,7,95,785,18,550,3,6,11,62,855,19,572,2,10
SANTA CLARA COUNTY OFFICE OF EDUCATION,California,3,147,446,15,132,–,56,6,185,482,19,138,4,48,3,157,527,19,124,2,20,2,109,206,19,103,1,18
SANTA CLARA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CLARA ELEMENTARY,California,–,–,3,–,3,–,2,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CLARA UNIFIED,California,7,335,423,30,258,11,55,9,361,398,26,194,6,57,3,343,425,31,238,7,58,4,345,409,37,215,10,50
SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CRUZ CITY ELEMENTARY,California,="0",="0",="0",="0",="0",="0",="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CRUZ CITY ELEMENTARY/HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CRUZ CITY HIGH,California,–,20,140,6,176,3,22,1,17,156,2,204,1,17,–,13,139,5,212,2,13,4,28,315,10,454,1,41
SANTA CRUZ COUNTY OFFICE OF EDUCATION,California,–,–,2,–,1,–,–,1,5,12,–,77,–,8,–,2,28,1,76,–,2,2,2,35,1,76,–,12
SANTA CRUZ COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA MARIA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5,60,1690,9,169,2,44
SANTA MARIA-BONITA,California,1,39,1707,11,66,1,2,2,45,1675,7,66,2,2,5,36,1416,12,48,1,2,†,†,†,†,†,†,†
SANTA MONICA-MALIBU UNIFIED,California,4,41,242,62,417,–,48,1,53,247,53,462,1,65,3,61,271,44,462,5,56,1,60,261,68,406,2,61
SANTA PAULA UNIFIED,California,–,–,381,–,10,–,1,–,–,437,1,13,1,–,–,3,394,–,17,–,1,–,2,400,–,16,–,2
SANTA RITA UNION ELEMENTARY,California,–,11,326,5,48,–,5,–,15,362,2,37,1,2,1,16,330,4,38,–,1,†,†,†,†,†,†,†
SANTA ROSA CITY SCHOOLS,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA ROSA ELEMENTARY,California,9,32,390,7,158,1,32,–,1,13,–,14,–,2,2,1,5,–,15,–,2,†,†,†,†,†,†,†
SANTA ROSA HIGH,California,–,9,2,1,51,–,4,15,114,800,38,494,5,101,20,99,729,32,552,7,95,16,122,981,42,768,12,106
SANTA YNEZ VALLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,2,1,111,–,111,–,10
SANTEE,California,5,36,189,6,391,2,85,2,19,188,10,369,4,82,2,26,197,7,365,2,81,†,†,†,†,†,†,†
SARATOGA UNION ELEMENTARY,California,–,147,13,–,67,1,35,–,178,7,–,81,–,18,–,176,6,1,90,1,30,†,†,†,†,†,†,†
SAUCELITO ELEMENTARY,California,–,–,10,–,6,–,1,–,–,6,–,2,–,–,–,–,8,–,2,–,–,†,†,†,†,†,†,†
SAUGUS UNION,California,2,233,484,61,740,7,28,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SAUSALITO MARIN CITY,California,–,7,16,7,24,–,6,–,6,18,12,19,–,5,–,7,15,9,4,–,3,†,†,†,†,†,†,†
SAVANNA ELEMENTARY,California,–,67,180,14,56,3,15,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBC - HIGH TECH HIGH,California,3,14,136,6,48,–,10,2,21,106,7,70,2,6,3,10,122,8,59,–,11,2,14,171,7,55,–,16
SBE - ACADEMIA AVANCE CHARTER,CALIFORNIA,–,–,23,–,–,–,4,–,–,47,–,–,–,6,–,–,75,–,–,–,2,–,–,51,–,–,–,3
SBE - ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA,CALIFORNIA,–,–,28,–,–,–,–,–,–,32,–,–,–,–,–,–,32,1,–,–,1,–,–,25,–,–,–,–
SBE - AUDEO CHARTER II,CALIFORNIA,–,–,2,–,–,–,–,–,–,2,–,3,–,1,–,–,8,–,6,–,1,–,–,24,1,3,–,1
SBE - BARACK OBAMA CHARTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - BAYPOINT PREPARATORY ACADEMY,CALIFORNIA,–,–,12,1,12,–,–,–,–,11,1,12,–,3,–,2,10,2,11,–,–,–,–,11,–,11,–,–
SBE - LIFELINE EDUCATION CHARTER,California,–,–,52,7,–,–,–,–,–,67,9,–,–,1,–,–,62,14,–,–,–,–,–,63,16,–,–,–
SBE - MAGNOLIA SCIENCE ACADEMY SANTA ANA,CALIFORNIA,–,2,51,1,10,–,1,2,1,76,1,7,–,1,–,1,24,–,17,–,1,–,4,24,–,9,–,4
SBE - NEW WEST CHARTER,California,–,14,37,10,63,–,9,–,12,44,10,78,1,5,1,14,43,7,68,1,14,1,7,19,11,57,1,6
SBE - OLIVE GROVE CHARTER,CALIFORNIA,–,–,7,–,1,–,–,–,–,6,–,7,–,1,–,1,20,–,12,–,–,–,–,14,–,11,1,3
